Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-05-16,13483.25,13554.5,13426.25,13461.0,561834
2023-05-17,13643.5,13669.0,13474.25,13498.5,621137
2023-05-18,13894.0,13913.0,13628.25,13640.5,749496
2023-05-19,13858.0,13960.25,13814.25,13908.5,659819
2023-05-22,13902.5,13946.75,13794.25,13805.5,538203
2023-05-23,13728.75,13979.25,13710.0,13913.25,658680
2023-05-24,13650.25,13845.75,13566.5,13729.0,704804
2023-05-25,13976.5,14031.25,13803.0,13877.0,819148
2023-05-26,14332.5,14369.0,13924.5,13977.75,729047
2023-05-30,14396.75,14570.0,14336.75,14437.5,882198
2023-05-31,14300.5,14429.0,14251.25,14397.25,680429
2023-06-01,14472.25,14528.25,14248.25,14289.5,622329
2023-06-02,14575.25,14627.75,14468.25,14494.0,623290
2023-06-05,14588.75,14694.75,14512.75,14577.0,619089
2023-06-06,14586.5,14623.75,14504.5,14582.0,572806
2023-06-07,14331.5,14675.0,14305.5,14594.5,770555
2023-06-08,14503.0,14526.75,14256.75,14316.0,631769
2023-06-09,14556.25,14687.5,14460.25,14517.0,581386
2023-06-12,14800.5,14827.0,14554.25,14560.25,397388
2023-06-13,14914.25,14967.75,14779.5,14824.0,347119
2023-06-14,15012.75,15061.5,14793.0,14925.0,204099
2023-06-15,15188.0,15252.0,14878.0,15038.0,139777
2023-06-16,15316.6103515625,15324.0,15130.5,15181.25,636907
2023-06-20,15256.5,15322.5,15126.5,15303.25,652883
2023-06-21,15044.0,15273.25,15002.25,15247.5,640702
2023-06-22,15214.75,15238.0,14964.0,15038.75,611017
2023-06-23,15058.25,15236.0,14985.25,15236.0,620593
2023-06-26,14856.5,15152.5,14853.5,15057.75,649993
2023-06-27,15111.5,15139.25,14862.25,14875.0,569198
2023-06-28,15130.0,15219.0,15021.25,15088.25,662146
2023-06-29,15100.25,15202.75,15028.5,15161.0,594134
2023-06-30,15337.0,15376.75,15099.0,15106.0,529455
2023-07-03,15364.75,15392.0,15308.0,15331.0,265064
2023-07-05,15360.75,15432.0,15255.25,15357.0,519857
2023-07-06,15238.0,15366.0,15111.5,15353.75,574681
2023-07-07,15181.75,15359.75,15172.25,15211.75,555119
2023-07-10,15187.0,15218.25,15063.25,15198.5,609953
2023-07-11,15260.0,15278.75,15109.5,15195.75,552637
2023-07-12,15444.75,15507.75,15254.5,15258.0,649433
2023-07-13,15711.5,15741.25,15456.5,15457.75,563935
2023-07-14,15694.25,15857.25,15663.0,15699.0,629943
2023-07-17,15840.75,15882.75,15661.5,15690.0,522129
2023-07-18,15974.75,16029.75,15733.0,15832.0,633272
2023-07-19,15959.25,16062.75,15911.25,15949.25,682279
2023-07-20,15592.25,15925.75,15547.0,15922.75,810475
2023-07-21,15540.0,15719.25,15522.25,15590.75,704413
2023-07-24,15561.25,15618.75,15483.75,15556.0,561877
2023-07-25,15673.0,15736.25,15549.25,15570.0,554880
2023-07-26,15610.75,15739.25,15515.0,15730.25,683826
2023-07-27,15571.0,15904.0,15511.25,15638.75,846437
2023-07-28,15847.5,15896.0,15546.25,15580.0,689386
2023-07-31,15857.5,15917.0,15791.25,15850.0,523896
2023-08-01,15817.25,15889.25,15728.25,15869.25,529660
2023-08-02,15473.0,15789.75,15414.0,15757.0,773499
2023-08-03,15438.75,15551.75,15339.5,15455.75,658841
2023-08-04,15354.0,15610.25,15336.5,15441.0,773229
2023-08-07,15485.5,15495.5,15334.25,15370.5,578299
2023-08-08,15354.25,15497.75,15218.0,15495.0,638813
2023-08-09,15178.25,15432.5,15146.5,15351.75,652732
2023-08-10,15201.25,15442.25,15136.0,15202.5,807104
2023-08-11,15095.75,15266.75,15037.25,15219.0,613959
2023-08-14,15270.25,15282.0,15020.75,15104.0,554628
2023-08-15,15106.5,15335.0,15074.75,15279.0,593602
2023-08-16,14942.25,15166.0,14921.5,15110.75,641607
2023-08-17,14778.0,15018.25,14738.25,14940.25,681399
2023-08-18,14744.0,14802.75,14609.25,14748.0,731241
2023-08-21,14985.75,15013.75,14720.5,14762.5,641685
2023-08-22,14958.5,15118.25,14932.0,14974.5,623728
2023-08-23,15195.5,15356.75,14957.25,14959.75,606168
2023-08-24,14862.0,15418.0,14817.0,15333.0,847308
2023-08-25,14979.25,15048.75,14751.75,14833.0,823889
2023-08-28,15092.5,15126.5,14973.5,14991.0,586342
2023-08-29,15415.75,15430.5,15049.75,15098.75,616223
2023-08-30,15501.25,15522.75,15361.5,15427.5,590194
2023-08-31,15538.5,15606.75,15460.0,15513.75,584743
2023-09-01,15516.25,15661.25,15454.0,15534.0,572689
2023-09-05,15534.5,15586.75,15418.25,15517.0,604891
2023-09-06,15399.5,15533.0,15310.5,15511.25,596503
2023-09-07,15282.25,15395.75,15157.5,15385.0,644887
2023-09-08,15297.5,15390.75,15223.0,15286.25,598477
2023-09-11,15475.75,15497.5,15298.0,15308.0,411385
2023-09-12,15304.75,15480.75,15288.75,15466.5,253049
2023-09-13,15356.25,15424.25,15212.75,15308.5,190166
2023-09-14,15478.0,15517.75,15337.25,15372.75,110435
2023-09-15,15435.2001953125,15524.0,15401.25,15480.25,708762
2023-09-18,15414.5,15461.0,15330.5,15382.25,509746
2023-09-19,15375.25,15442.25,15248.5,15424.25,552065
2023-09-20,15152.0,15436.25,15127.0,15375.25,605256
2023-09-21,14862.75,15149.0,14841.0,15133.25,702742
2023-09-22,14869.5,15027.5,14836.25,14854.5,624056
2023-09-25,14935.25,14955.75,14782.25,14880.25,568859
2023-09-26,14715.0,14949.0,14666.25,14949.0,667617
2023-09-27,14739.0,14821.5,14586.0,14725.25,716200
2023-09-28,14859.75,14947.5,14658.0,14772.5,734472
2023-09-29,14866.5,15060.75,14811.0,14876.5,745541
2023-10-02,14984.75,15046.0,14826.0,14965.0,762896
2023-10-03,14714.5,15031.0,14651.5,14989.5,762964
2023-10-04,14923.75,14956.0,14589.0,14713.75,803257
2023-10-05,14861.75,14958.75,14716.25,14903.0,676461
2023-10-06,15112.0,15160.25,14660.0,14853.75,840602
2023-10-09,15187.0,15212.75,14949.5,15040.25,617072
2023-10-10,15270.75,15383.5,15171.75,15196.5,648613
2023-10-11,15380.0,15416.75,15253.0,15282.25,614965
2023-10-12,15315.0,15468.75,15216.25,15407.5,747494
2023-10-13,15120.25,15366.75,15062.25,15324.0,777005
2023-10-16,15289.5,15336.75,15083.0,15120.0,641294
2023-10-17,15240.75,15309.25,15050.25,15305.75,781599
2023-10-18,15025.25,15238.25,14979.25,15236.5,853599
2023-10-19,14890.0,15138.25,14839.5,15045.0,1019700
2023-10-20,14664.0,14887.5,14645.0,14850.0,846675
2023-10-23,14712.0,14853.75,14514.25,14680.0,765733
2023-10-24,14846.5,14948.75,14706.0,14744.0,703058
2023-10-25,14478.25,14855.0,14444.0,14828.0,820677
2023-10-26,14194.0,14459.0,14140.25,14425.0,987597
